"","sample_id","bsi","wavenumber","absorbance"
"231","FISK-10.0",20.37,"3553"," 0.2019803063674"
"232","FISK-10.0",20.37,"3551"," 0.2034574008285"
"233","FISK-10.0",20.37,"3549"," 0.2046053506434"
"234","FISK-10.0",20.37,"3547"," 0.2054730922420"
"235","FISK-10.0",20.37,"3545"," 0.2065448821764"
"236","FISK-10.0",20.37,"3543"," 0.2077635545670"
"237","FISK-10.0",20.37,"3541"," 0.2088541389412"
"238","FISK-10.0",20.37,"3539"," 0.2098323435629"
"239","FISK-10.0",20.37,"3537"," 0.2107613084258"
"240","FISK-10.0",20.37,"3535"," 0.2117540069683"
"241","FISK-10.0",20.37,"3533"," 0.2128671350578"
"242","FISK-10.0",20.37,"3531"," 0.2139243990605"
"243","FISK-10.0",20.37,"3530"," 0.2144065816366"
"244","FISK-10.0",20.37,"3528"," 0.2153545823417"
"245","FISK-10.0",20.37,"3526"," 0.2163922776127"
"246","FISK-10.0",20.37,"3524"," 0.2175213384974"
"247","FISK-10.0",20.37,"3522"," 0.2186248223442"
"248","FISK-10.0",20.37,"3520"," 0.2195114647462"
"249","FISK-10.0",20.37,"3518"," 0.2202021725177"
"250","FISK-10.0",20.37,"3516"," 0.2209635393757"
"251","FISK-10.0",20.37,"3514"," 0.2218315036838"
"252","FISK-10.0",20.37,"3512"," 0.2226508202807"
"253","FISK-10.0",20.37,"3510"," 0.2234021343578"
"254","FISK-10.0",20.37,"3508"," 0.2242476973449"
"255","FISK-10.0",20.37,"3506"," 0.2251007619003"
"256","FISK-10.0",20.37,"3504"," 0.2259228570466"
"257","FISK-10.0",20.37,"3503"," 0.2263842981947"
"258","FISK-10.0",20.37,"3501"," 0.2273725491386"
"259","FISK-10.0",20.37,"3499"," 0.2282332101953"
"260","FISK-10.0",20.37,"3497"," 0.2290004041001"
"261","FISK-10.0",20.37,"3495"," 0.2297944955489"
"262","FISK-10.0",20.37,"3493"," 0.2304868129287"
"263","FISK-10.0",20.37,"3491"," 0.2310712192997"
"264","FISK-10.0",20.37,"3489"," 0.2317683031409"
"265","FISK-10.0",20.37,"3487"," 0.2325199740244"
"266","FISK-10.0",20.37,"3485"," 0.2331976019972"
"267","FISK-10.0",20.37,"3483"," 0.2338287503694"
"268","FISK-10.0",20.37,"3481"," 0.2345131385419"
"269","FISK-10.0",20.37,"3479"," 0.2351550569027"
"270","FISK-10.0",20.37,"3477"," 0.2356476337797"
"271","FISK-10.0",20.37,"3476"," 0.2359016869650"
"272","FISK-10.0",20.37,"3474"," 0.2365648152411"
"273","FISK-10.0",20.37,"3472"," 0.2373040567109"
"274","FISK-10.0",20.37,"3470"," 0.2380150665201"
"275","FISK-10.0",20.37,"3468"," 0.2387294608888"
"276","FISK-10.0",20.37,"3466"," 0.2393293128121"
"277","FISK-10.0",20.37,"3464"," 0.2396901382775"
"278","FISK-10.0",20.37,"3462"," 0.2399120352771"
"279","FISK-10.0",20.37,"3460"," 0.2402580266289"
"280","FISK-10.0",20.37,"3458"," 0.2407980234144"
"281","FISK-10.0",20.37,"3456"," 0.2414379867686"
"282","FISK-10.0",20.37,"3454"," 0.2421205179056"
"283","FISK-10.0",20.37,"3452"," 0.2427678528877"
"284","FISK-10.0",20.37,"3450"," 0.2432811331291"
"285","FISK-10.0",20.37,"3449"," 0.2434833387255"
"286","FISK-10.0",20.37,"3447"," 0.2439366345212"
"287","FISK-10.0",20.37,"3445"," 0.2444373306269"
"288","FISK-10.0",20.37,"3443"," 0.2448121399574"
"289","FISK-10.0",20.37,"3441"," 0.2451276796130"
"290","FISK-10.0",20.37,"3439"," 0.2454387636488"
"291","FISK-10.0",20.37,"3437"," 0.2458098189482"
"292","FISK-10.0",20.37,"3435"," 0.2463060374962"
"293","FISK-10.0",20.37,"3433"," 0.2467571582337"
"294","FISK-10.0",20.37,"3431"," 0.2471430374391"
"295","FISK-10.0",20.37,"3429"," 0.2475533407994"
"296","FISK-10.0",20.37,"3427"," 0.2480047577421"
"297","FISK-10.0",20.37,"3425"," 0.2484795429659"
"298","FISK-10.0",20.37,"3423"," 0.2489435879050"
"299","FISK-10.0",20.37,"3422"," 0.2491717172958"
"300","FISK-10.0",20.37,"3420"," 0.2496442477174"
"301","FISK-10.0",20.37,"3418"," 0.2500446974952"
"302","FISK-10.0",20.37,"3416"," 0.2503396210978"
"303","FISK-10.0",20.37,"3414"," 0.2506103537043"
"304","FISK-10.0",20.37,"3412"," 0.2508222778201"
"305","FISK-10.0",20.37,"3410"," 0.2510696018105"
"306","FISK-10.0",20.37,"3408"," 0.2515190552332"
"307","FISK-10.0",20.37,"3406"," 0.2520710628756"
"308","FISK-10.0",20.37,"3404"," 0.2525114925884"
"309","FISK-10.0",20.37,"3402"," 0.2528923814116"
"310","FISK-10.0",20.37,"3400"," 0.2530923954105"
"311","FISK-10.0",20.37,"3398"," 0.2528954032446"
"312","FISK-10.0",20.37,"3396"," 0.2529911197005"
"313","FISK-10.0",20.37,"3395"," 0.2530740758427"
"314","FISK-10.0",20.37,"3393"," 0.2532968579324"
"315","FISK-10.0",20.37,"3391"," 0.2536797492664"
"316","FISK-10.0",20.37,"3389"," 0.2541831620807"
"317","FISK-10.0",20.37,"3387"," 0.2546462414127"
"318","FISK-10.0",20.37,"3385"," 0.2549488637601"
"319","FISK-10.0",20.37,"3383"," 0.2550597179491"
"320","FISK-10.0",20.37,"3381"," 0.2552219459437"
"321","FISK-10.0",20.37,"3379"," 0.2555827465742"
"322","FISK-10.0",20.37,"3377"," 0.2558897230835"
"323","FISK-10.0",20.37,"3375"," 0.2559859479554"
"324","FISK-10.0",20.37,"3373"," 0.2561436766162"
"325","FISK-10.0",20.37,"3371"," 0.2565044208884"
"326","FISK-10.0",20.37,"3369"," 0.2567981420417"
"327","FISK-10.0",20.37,"3368"," 0.2568551743894"
"328","FISK-10.0",20.37,"3366"," 0.2569205632204"
"329","FISK-10.0",20.37,"3364"," 0.2570487502657"
"330","FISK-10.0",20.37,"3362"," 0.2572204785532"
"331","FISK-10.0",20.37,"3360"," 0.2574613075894"
"332","FISK-10.0",20.37,"3358"," 0.2577773105619"
"333","FISK-10.0",20.37,"3356"," 0.2580190841642"
"334","FISK-10.0",20.37,"3354"," 0.2581186812047"
"335","FISK-10.0",20.37,"3352"," 0.2580716094010"
"336","FISK-10.0",20.37,"3350"," 0.2579600000000"
"337","FISK-10.0",20.37,"3348"," 0.2579873267902"
"338","FISK-10.0",20.37,"3346"," 0.2581771164076"
"339","FISK-10.0",20.37,"3344"," 0.2583195951222"
"340","FISK-10.0",20.37,"3342"," 0.2584129207821"
"341","FISK-10.0",20.37,"3341"," 0.2584595836120"
"342","FISK-10.0",20.37,"3339"," 0.2584313938187"
