,wavenumber,absorbance
834,5888.41641,-0.00032
835,5886.48768,5e-05
836,5884.55895,0.00023
837,5882.63022,6e-05
838,5880.70149,-0.00038
839,5878.77276,-0.00033
840,5876.84403,0.00033
841,5874.91529,0.00091
842,5872.98656,0.00121
843,5871.05783,0.0012
844,5869.1291,0.00051
845,5867.20037,-0.00048
846,5865.27164,-0.00071
847,5863.34291,-0.00036
848,5861.41418,-0.00029
849,5859.48544,-0.00025
850,5857.55671,3e-05
851,5855.62798,7e-05
852,5853.69925,-0.00011
853,5851.77052,-0.00011
854,5849.84179,1e-05
855,5847.91306,3e-05
856,5845.98433,0.00013
857,5844.0556,0.0004
858,5842.12686,0.00032
859,5840.19813,-3e-05
860,5838.2694,4e-05
861,5836.34067,0.00033
862,5834.41194,0.00037
863,5832.48321,0.00035
864,5830.55448,0.00041
865,5828.62575,0.00043
866,5826.69701,0.00029
867,5824.76828,0.00013
868,5822.83955,0.00025
869,5820.91082,0.00054
870,5818.98209,0.00068
871,5817.05336,0.00087
872,5815.12463,0.00128
873,5813.1959,0.0015
874,5811.26716,0.00129
875,5809.33843,0.00089
876,5807.4097,0.00061
877,5805.48097,0.00057
878,5803.55224,0.00054
879,5801.62351,0.00037
880,5799.69478,0.00035
881,5797.76605,0.00053
882,5795.83731,0.00067
883,5793.90858,0.00085
884,5791.97985,0.00091
885,5790.05112,0.00056
886,5788.12239,0.00029
887,5786.19366,0.00054
888,5784.26493,0.00073
889,5782.3362,0.00016
890,5780.40746,-0.00074
891,5778.47873,-0.00094
892,5776.55,-0.00051
893,5774.62127,-0.00028
894,5772.69254,-0.00034
895,5770.76381,-0.00031
896,5768.83508,-0.00029
897,5766.90635,-0.00046
898,5764.97762,-0.00066
899,5763.04888,-0.00067
900,5761.12015,-0.00042
901,5759.19142,-0.00014
902,5757.26269,-3e-05
903,5755.33396,6e-05
904,5753.40523,-6e-05
905,5751.4765,-0.00045
906,5749.54777,-0.00045
907,5747.61903,-5e-05
908,5745.6903,0.00011
909,5743.76157,0.0
910,5741.83284,-6e-05
911,5739.90411,2e-05
912,5737.97538,0.00032
913,5736.04665,0.00055
914,5734.11792,0.00041
915,5732.18918,7e-05
916,5730.26045,-0.00034
917,5728.33172,-0.00072
918,5726.40299,-0.00056
919,5724.47426,4e-05
920,5722.54553,0.00035
921,5720.6168,0.00026
922,5718.68807,2e-05
923,5716.75933,-0.00011
924,5714.8306,0.00016
925,5712.90187,0.00063
926,5710.97314,0.00065
927,5709.04441,2e-05
928,5707.11568,-0.00051
929,5705.18695,-0.0002
930,5703.25822,0.00046
931,5701.32948,0.00051
932,5699.40075,8e-05
933,5697.47202,-2e-05
934,5695.54329,0.00018
935,5693.61456,0.00011
936,5691.68583,-0.00015
937,5689.7571,-0.00029
938,5687.82837,-0.00042
939,5685.89964,-0.00069
940,5683.9709,-0.00074
941,5682.04217,-0.00032
942,5680.11344,0.00013
943,5678.18471,0.00013
944,5676.25598,-0.00017
945,5674.32725,-0.00018
946,5672.39852,0.0001
947,5670.46979,0.00023
948,5668.54105,-0.0
949,5666.61232,-0.00029
950,5664.68359,-0.00027
951,5662.75486,-0.00013
952,5660.82613,-0.00019
953,5658.8974,-0.00018
954,5656.96867,0.00019
955,5655.03994,0.00044
956,5653.1112,0.00015
957,5651.18247,-0.00021
958,5649.25374,-0.00029
959,5647.32501,-0.00035
960,5645.39628,-0.00037
961,5643.46755,-0.00021
962,5641.53882,8e-05
963,5639.61009,0.00034
964,5637.68135,0.00036
965,5635.75262,2e-05
966,5633.82389,-0.0004
967,5631.89516,-0.00042
968,5629.96643,4e-05
969,5628.0377,0.00046
